objeto;masa;x;y;z;vx;vy;vz
sol;1,000000000000000E+00;0,000000000000000E+00;0,000000000000000E+00;0,000000000000000E+00;0,000000000000000E+00;0,000000000000000E+00;0,000000000000000E+00
mercurio;1,660548151873270E-07;-4,983604224516680E-06;-5,055183783172020E-06;4,410902846834630E-08;2,619090123200790E-12;-3,379988770922760E-12;-5,164602819507890E-13
venus;2,448327885340710E-06;-8,695743550590910E-06;7,287249898154380E-06;6,018012049879040E-07;-2,391510882225570E-12;-2,856091950312750E-12;9,881948557327290E-14
tierra;3,003364344983660E-06;-2,700075139110150E-06;1,531238403555560E-05;-7,315851380352270E-10;-3,153001654275050E-12;-5,577024627461250E-13;6,108846972877440E-17
marte;3,227105858687450E-07;1,723901752242840E-05;1,520027366656010E-05;-1,045008325053520E-07;-1,596491912597040E-12;2,139499977868250E-12;8,400485374261340E-14
jupiter;9,545536836811670E-04;-3,374850975036970E-05;-7,756477268807540E-05;1,077295362873780E-06;1,250779296680290E-12;-4,862586945514440E-13;-2,596601465142930E-14
saturno;2,858134272064370E-04;3,098585305272770E-05;-1,560239660838340E-04;1,478761967054900E-06;9,465543126741200E-13;1,954777937388170E-13;-4,111461427459990E-14
urano;4,365753080211210E-05;2,690666688799970E-04;1,619691053291250E-04;-2,882738967137870E-06;-3,752865425197910E-13;5,826607413056980E-13;6,999877127805270E-15
neptuno;5,150264018104100E-05;4,582842895439140E-04;-1,184141262914300E-04;-8,124346775532980E-06;1,412373369286300E-13;5,592667779420730E-13;-1,485668580041620E-14
pluton;6,572793562987180E-09;1,878915987573270E-04;-4,988572494522250E-04;-9,770185691010510E-07;5,499117787298980E-13;7,981895083639120E-14;-1,664151889768550E-13
luna;3,695750565753080E-08;-2,730313826443790E-06;1,528506259426200E-05;2,892020606011890E-09;-3,085048019233040E-12;-6,405565849286510E-13;-2,115819480634020E-15
phobos;5,431229570027660E-15;1,723911536617240E-05;1,519930047070900E-05;-1,046211208744130E-07;-1,395868804443590E-12;2,169092312465100E-12;-1,848071449681870E-14
