Simulacion Movimiento de partículas Gravitatorias. v 4.11 AVX 256
Partículas                   21960
Inicio al azar
Numero de hilos                 30
Paso de tiempo       1,0000000e+02 años
Muestra esférica
Radio de la esfera   2,5000000e+06   al
Velocidades Hubble   1,0000000e+02 factor
Distancia colision   5,0000000e+01   al
Radio de corte       2,1000000e+08   al
Radio vecinas        2,3000000e+08   al
Frecuencia vecinas           1.000 Hilo
Monitorizar cada             1.000 pasos
Tiempo a simular      100,00000000 millones de años (1.000.000 pasos)

                ener.cinetica ener.potencial  ENERGIA TOTAL ener.pot.resid           x al           y al           z al        vx al/s        vy al/s        vz al/s         v al/s
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
Partícula uno   8,2310502e-08 -1,7328710e-06 -1,6505605e-06  0,0000000e+00 -2,6832405e+05 -3,4469075e+05  1,7281730e+06 -6,0899631e-11 -7,8232046e-11  3,9223133e-10  4,0456697e-10
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------

 millones años  ener.cinética ener.potencial  ENERGÍA TOTAL In.corte ener.pot.resid In.veci.   recorrido al desplazami. al      X c.m. al      Y c.m. al      Z c.m. al dist. media al desv.estand al  tpo cálculo s
-------------- -------------- -------------- -------------- -------- -------------- -------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
    0,00000000  2,1410334e-03 -1,8315178e-02 -1,6174145e-02 21959,00  0,0000000e+00     0,00  0,0000000e+00  0,0000000e+00 -6,8649760e+03 -3,1345466e+02  1,1388498e+03  1,8790162e+06  4,8257286e+05  2,0000000e+00
    0,10000000  2,1279666e-03 -1,8302098e-02 -1,6174132e-02 21959,00  0,0000000e+00 21959,00  1,2746610e+03  1,2746610e+03 -6,8698931e+03 -3,1367917e+02  1,1396655e+03  1,8803600e+06  4,8291797e+05  2,2600000e+02
    0,20000000  2,1149838e-03 -1,8289116e-02 -1,6174132e-02 21959,00  0,0000000e+00 21959,00  2,5451710e+03  2,5451709e+03 -6,8748101e+03 -3,1390369e+02  1,1404812e+03  1,8816997e+06  4,8326200e+05  4,5000000e+02
    0,30000000  2,1021414e-03 -1,8276187e-02 -1,6174046e-02 21959,00  0,0000000e+00 21959,00  3,8115362e+03  3,8115360e+03 -6,8797073e+03 -3,1410773e+02  1,1412888e+03  1,8830352e+06  4,8360496e+05  6,7200000e+02
    0,40000000  2,0891844e-03 -1,8263231e-02 -1,6174046e-02 21959,00  0,0000000e+00 21959,00  5,0737628e+03  5,0737622e+03 -6,8845741e+03 -3,1428043e+02  1,1420840e+03  1,8843667e+06  4,8394686e+05  8,9600000e+02
    0,50000000  2,0763488e-03 -1,8250395e-02 -1,6174046e-02 21959,00  0,0000000e+00 21959,00  6,3318566e+03  6,3318555e+03 -6,8894408e+03 -3,1445313e+02  1,1428791e+03  1,8856941e+06  4,8428769e+05  1,1180000e+03
    0,60000000  2,0635957e-03 -1,8237642e-02 -1,6174047e-02 21959,00  0,0000000e+00 21959,00  7,5858238e+03  7,5858219e+03 -6,8943076e+03 -3,1462584e+02  1,1436743e+03  1,8870174e+06  4,8462745e+05  1,3420000e+03
    0,70000000  2,0509429e-03 -1,8224990e-02 -1,6174047e-02 21959,00  0,0000000e+00 21959,00  8,8356704e+03  8,8356673e+03 -6,8991743e+03 -3,1479854e+02  1,1444694e+03  1,8883366e+06  4,8496614e+05  1,5640000e+03
    0,80000000  2,0387165e-03 -1,8212558e-02 -1,6173842e-02 21959,00  0,0000000e+00 21959,00  1,0081402e+04  1,0081398e+04 -6,9040320e+03 -3,1496188e+02  1,1452609e+03  1,8896517e+06  4,8530377e+05  1,7880000e+03
    0,90000000  2,0260200e-03 -1,8199871e-02 -1,6173851e-02 21959,00  0,0000000e+00 21959,00  1,1323026e+04  1,1323019e+04 -6,9088111e+03 -3,1506846e+02  1,1460519e+03  1,8909628e+06  4,8564037e+05  2,0100000e+03
    1,00000000  2,0139510e-03 -1,8187515e-02 -1,6173564e-02 21959,00  0,0000000e+00 21959,00  1,2560546e+04  1,2560537e+04 -6,9135636e+03 -3,1517643e+02  1,1468536e+03  1,8922697e+06  4,8597594e+05  2,2330000e+03
    1,10000000  2,0017790e-03 -1,8175245e-02 -1,6173466e-02 21959,00  0,0000000e+00 21959,00  1,3793969e+04  1,3793957e+04 -6,9183118e+03 -3,1534596e+02  1,1476567e+03  1,8935727e+06  4,8631049e+05  2,4550000e+03
    1,20000000  1,9893564e-03 -1,8162993e-02 -1,6173637e-02 21959,00  0,0000000e+00 21959,00  1,5023302e+04  1,5023286e+04 -6,9230757e+03 -3,1550219e+02  1,1483575e+03  1,8948716e+06  4,8664395e+05  2,6790000e+03
    1,30000000  1,9777178e-03 -1,8151588e-02 -1,6173870e-02 21959,00  0,0000000e+00 21959,00  1,6248549e+04  1,6248529e+04 -6,9278618e+03 -3,1561269e+02  1,1490323e+03  1,8961662e+06  4,8697638e+05  2,9010000e+03
    1,40000000  1,9649526e-03 -1,8138416e-02 -1,6173464e-02 21959,00  0,0000000e+00 21959,00  1,7469717e+04  1,7469691e+04 -6,9327145e+03 -3,1578163e+02  1,1497522e+03  1,8974569e+06  4,8730778e+05  3,1250000e+03
    1,50000000  1,9534264e-03 -1,8126676e-02 -1,6173249e-02 21959,00  0,0000000e+00 21959,00  1,8686811e+04  1,8686779e+04 -6,9375805e+03 -3,1594165e+02  1,1503766e+03  1,8987435e+06  4,8763824e+05  3,3470000e+03
    1,60000000  1,9424014e-03 -1,8114810e-02 -1,6172409e-02 21959,00  0,0000000e+00 21959,00  1,9899837e+04  1,9899798e+04 -6,9424117e+03 -3,1598342e+02  1,1509943e+03  1,9000263e+06  4,8796766e+05  3,5700000e+03
    1,70000000  1,9293138e-03 -1,8101584e-02 -1,6172270e-02 21959,00  0,0000000e+00 21959,00  2,1108800e+04  2,1108754e+04 -6,9472210e+03 -3,1597214e+02  1,1517338e+03  1,9013051e+06  4,8829612e+05  3,7920000e+03
    1,80000000  1,9179031e-03 -1,8090209e-02 -1,6172306e-02 21959,00  0,0000000e+00 21959,00  2,2313708e+04  2,2313653e+04 -6,9520872e+03 -3,1595121e+02  1,1525653e+03  1,9025798e+06  4,8862351e+05  4,0160000e+03
    1,90000000  1,9050474e-03 -1,8077110e-02 -1,6172062e-02 21959,00  0,0000000e+00 21959,00  2,3514564e+04  2,3514499e+04 -6,9568861e+03 -3,1590237e+02  1,1533230e+03  1,9038505e+06  4,8894986e+05  4,2380000e+03
    2,00000000  1,8932464e-03 -1,8065310e-02 -1,6172064e-02 21959,00  0,0000000e+00 21959,00  2,4711374e+04  2,4711298e+04 -6,9616747e+03 -3,1584344e+02  1,1540757e+03  1,9051172e+06  4,8927517e+05  4,4610000e+03
    2,10000000  1,8814984e-03 -1,8053374e-02 -1,6171876e-02 21959,00  0,0000000e+00 21959,00  2,5904145e+04  2,5904057e+04 -6,9664864e+03 -3,1575160e+02  1,1547953e+03  1,9063800e+06  4,8959946e+05  4,6830000e+03
